clip_id	D01_T	D03_T	n_qc_images	reason
A0101_S0101_T002	1	101	1	D01_short
A0101_S0101_T007	0	101	1	D01_empty
A0101_S0201_T003	40	97	1	signal_degenerate
A0101_S0501_T003	15	102	1	D01_short
A0101_S0501_T009	13	101	1	D01_short
A0101_S0701_T004	0	101	1	D01_empty
A0101_S0701_T010	0	102	1	D01_empty
A0101_S0801_T001	40	102	1	signal_degenerate
A0101_S0901_T003	10	103	1	D01_short
A0101_S0901_T004	14	103	1	D01_short
A0102_S0901_T002	0	102	1	D01_empty
A0102_S0901_T003	0	102	1	D01_empty
A0102_S0901_T004	0	102	1	D01_empty
A0102_S0901_T005	0	102	1	D01_empty
A0102_S0901_T006	0	102	1	D01_empty
A0102_S0901_T007	0	102	1	D01_empty
A0102_S0901_T008	0	102	1	D01_empty
A0102_S0901_T009	0	103	1	D01_empty
A0102_S0901_T010	0	102	1	D01_empty
A0102_S1101_T007	39	103	1	D01_short
A0103_S0901_T001	0	102	1	D01_empty
A0103_S0901_T002	0	103	1	D01_empty
A0103_S0901_T003	0	102	1	D01_empty
A0103_S0901_T004	0	103	1	D01_empty
A0103_S0901_T005	0	101	1	D01_empty
A0103_S0901_T006	0	101	1	D01_empty
A0103_S0901_T007	0	103	1	D01_empty
A0103_S0901_T008	0	102	1	D01_empty
A0103_S0901_T009	0	104	1	D01_empty
A0103_S0901_T010	0	103	1	D01_empty
A0103_S1101_T009	0	101	1	D01_empty
A0201_S0101_T005	0	102	1	D01_empty
A0201_S0801_T003	36	102	1	D01_short
A0201_S1001_T001	84	102	20	signal_degenerate
A0202_S0901_T001	28	102	1	D01_short
A0202_S0901_T006	0	102	1	D01_empty
A0202_S1101_T010	38	101	1	D01_short
A0301_S0801_T001	0	103	1	D01_empty
A0301_S0801_T002	0	102	1	D01_empty
A0301_S0801_T003	0	103	1	D01_empty
A0301_S0801_T004	21	102	1	D01_short
A0401_S0901_T006	0	102	1	D01_empty
A0401_S1001_T003	85	103	20	signal_degenerate
A0501_S0201_T008	32	101	1	D01_short
A0501_S0901_T006	20	102	1	D01_short
A0501_S0901_T007	35	102	1	D01_short
A0501_S0901_T010	17	103	1	D01_short
A0502_S0901_T010	40	103	1	signal_degenerate
A0601_S0901_T002	39	102	1	D01_short
A0601_S0901_T006	21	104	1	D01_short
A0601_S0901_T008	1	102	1	D01_short
A0601_S1101_T001	84	101	20	signal_degenerate
A0602_S0101_T008	10	102	1	D01_short
A0602_S0901_T002	39	119	1	D01_short
A0602_S0901_T006	20	103	1	D01_short
A0701_S0101_T003	36	102	1	D01_short
A0701_S0101_T005	39	101	1	D01_short
A0701_S0101_T006	39	102	1	D01_short
A0701_S0101_T008	40	101	1	signal_degenerate
A0701_S0101_T009	36	102	1	D01_short
A0701_S0101_T010	0	102	1	D01_empty
A0701_S0901_T003	30	103	1	D01_short
A0701_S0901_T004	40	101	1	signal_degenerate
A0701_S0901_T005	6	103	1	D01_short
A0701_S0901_T010	37	103	1	D01_short
A0702_S0901_T002	20	102	1	D01_short
A0702_S0901_T003	0	101	1	D01_empty
A0702_S0901_T004	0	102	1	D01_empty
A0702_S0901_T005	0	103	1	D01_empty
A0702_S0901_T006	0	103	1	D01_empty
A0702_S0901_T007	0	102	1	D01_empty
A0702_S0901_T008	0	103	1	D01_empty
A0702_S0901_T009	0	103	1	D01_empty
A0702_S0901_T010	0	102	1	D01_empty
A0703_S0901_T001	0	102	1	D01_empty
A0703_S0901_T002	0	103	1	D01_empty
A0703_S0901_T003	0	102	1	D01_empty
A0703_S0901_T004	0	103	1	D01_empty
A0703_S0901_T005	0	103	1	D01_empty
A0703_S0901_T006	0	104	1	D01_empty
A0703_S0901_T007	0	103	1	D01_empty
A0703_S0901_T008	0	102	1	D01_empty
A0703_S0901_T009	0	102	1	D01_empty
A0703_S0901_T010	0	102	1	D01_empty
A0704_S0901_T001	0	103	1	D01_empty
A0704_S0901_T005	40	101	1	signal_degenerate
A0704_S0901_T006	30	103	1	D01_short
A0704_S0901_T007	35	103	1	D01_short
A0704_S0901_T008	34	102	1	D01_short
A0704_S1101_T006	35	100	1	D01_short
A0801_S0201_T001	36	102	1	D01_short
A0801_S0901_T002	17	112	1	D01_short
A0801_S0901_T005	40	103	1	signal_degenerate
A0802_S0201_T002	38	102	1	D01_short
A0802_S0601_T001	47	9	60	D03_short
A0802_S0601_T005	69	23	60	D03_short
A0802_S0601_T010	59	21	60	D03_short
A0802_S0701_T007	28	0	61	D03_empty
A0802_S0801_T003	2	34	61	both_short
A0802_S1001_T001	75	30	60	D03_short
A0802_S1001_T003	80	37	60	D03_short
A0802_S1001_T007	74	29	60	D03_short
